"","var_names","voi_names","var_coeffs","var_exp_coeffs","variable_pvals","adj_variable_pvals"
"66",OneYear_CD4_C4,voi,0.1114,1.118,0.1993,0.739168115942029
"67",OneYear_CD4_C5,voi,-0.06088,0.9409,0.5345,0.916221232876712
"68",OneYear_CD4_C6,voi,-0.0008096,0.9992,0.9944,0.9944
"69",OneYear_CD4_C7,voi,-0.0455,0.9555,0.6073,0.94865816993464
"70",OneYear_CD4_C8,voi,0.06744,1.07,0.481,0.901632061068702
"71",OneYear_CD4_C9,voi,-0.07551,0.9273,0.4635,0.893937096774194
"72",OneYear_CD4_C10,voi,0.04693,1.048,0.6588,0.977970186335404
"73",OneYear_CD4_C11,voi,-0.1674,0.8459,0.09997,0.720259090909091
"74",OneYear_CD4_C12,voi,-0.1521,0.8589,0.1078,0.720259090909091
"75",OneYear_CD4_C13,voi,0.06469,1.067,0.5591,0.916221232876712
"76",OneYear_CD4_C14,voi,0.09738,1.102,0.3303,0.817721428571429
"77",OneYear_CD4_C15,voi,-0.05033,0.9509,0.6494,0.97614213836478
"78",OneYear_CD4_C16,voi,-0.1604,0.8518,0.1105,0.720259090909091
"79",OneYear_CD4_C17,voi,0.0118,1.012,0.9049,0.9944
"80",OneYear_CD4_C18,voi,-0.1075,0.8981,0.2415,0.794746987951807
"81",OneYear_CD8_C1,voi,-0.03167,0.9688,0.7146,0.991044382022472
"82",OneYear_CD8_C2,voi,-0.04965,0.9516,0.6335,0.97614213836478
"83",OneYear_CD8_C3,voi,-0.0347,0.9659,0.7381,0.991044382022472
"84",OneYear_CD8_C4,voi,-0.2661,0.7664,0.01093,0.379668571428571
"85",OneYear_CD8_C5,voi,-0.1604,0.8518,0.1615,0.739168115942029
"86",OneYear_CD8_C6,voi,0.007476,1.008,0.9411,0.9944
"87",OneYear_CD8_C7,voi,-0.01765,0.9825,0.853,0.9944
"88",OneYear_CD8_C8,voi,0.08642,1.09,0.37,0.834245283018868
"89",OneYear_CD8_C9,voi,-0.02801,0.9724,0.8028,0.9944
"90",OneYear_CD8_C10,voi,0.0976,1.103,0.3353,0.817721428571429
"91",OneYear_CD8_C11,voi,-0.1569,0.8548,0.1278,0.720259090909091
"92",OneYear_CD8_C12,voi,0.04434,1.045,0.6838,0.981044910179641
"93",Birth_TPHE_C1,voi,0.00144,1.001,0.9876,0.9944
"94",Birth_TPHE_C2,voi,0.103,1.108,0.276,0.794746987951807
"95",Birth_TPHE_C3,voi,0.1389,1.149,0.1253,0.720259090909091
"96",Birth_TPHE_C4,voi,0.03894,1.04,0.7327,0.991044382022472
"97",Birth_TPHE_C5,voi,-0.009655,0.9904,0.9309,0.9944
"98",Birth_TPHE_C6,voi,-0.01199,0.9881,0.919,0.9944
"99",Birth_TPHE_C8,voi,-0.002009,0.998,0.9848,0.9944
"100",Birth_TPHE_C9,voi,0.01431,1.014,0.8736,0.9944
"101",Birth_TPHE_C10,voi,-0.07624,0.9266,0.3555,0.830931067961165
"102",Birth_TPHE_C11,voi,0.0171,1.017,0.8706,0.9944
"103",Birth_TPHE_C12,voi,-0.04744,0.9537,0.6849,0.981044910179641
"104",Birth_TPHE_C13,voi,-0.06754,0.9347,0.4898,0.901632061068702
"105",Birth_TPHE_C14,voi,0.1337,1.143,0.1326,0.720259090909091
"106",Birth_TPHE_C15,voi,-0.002804,0.9972,0.9808,0.9944
"107",Birth_TPHE_C16,voi,0.0222,1.022,0.7929,0.9944
"108",Birth_TPHE_C17,voi,0.07765,1.081,0.355,0.830931067961165
"109",Birth_TPHE_C18,voi,-0.04692,0.9542,0.6374,0.97614213836478
"110",Birth_TPHE_C20,voi,0.08245,1.086,0.417,0.851820512820513
"111",Birth_TPHE_C21,voi,0.06905,1.071,0.5435,0.916221232876712
"112",Birth_TPHE_C22,voi,0.2817,1.325,0.005787,0.34577325
"113",Birth_TPHE_C23,voi,-0.01175,0.9883,0.9113,0.9944
"114",Birth_TPHE_C24,voi,-0.005468,0.9945,0.9563,0.9944
"115",Birth_TPHE_C25,voi,0.09413,1.099,0.3628,0.833742307692308
"116",Birth_TPHE_C26,voi,-0.1223,0.8849,0.2561,0.794746987951807
"117",Birth_TPHE_C27,voi,-0.1691,0.8444,0.0657,0.720259090909091
"118",Discharge_TPHE_C1,voi,-0.00772,0.9923,0.9309,0.9944
"119",Discharge_TPHE_C2,voi,0.1568,1.17,0.06587,0.720259090909091
"120",Discharge_TPHE_C3,voi,0.1541,1.167,0.1166,0.720259090909091
"121",Discharge_TPHE_C4,voi,0.01319,1.013,0.8965,0.9944
"122",Discharge_TPHE_C5,voi,0.1254,1.134,0.1687,0.739168115942029
"123",Discharge_TPHE_C6,voi,0.02343,1.024,0.8056,0.9944
"124",Discharge_TPHE_C8,voi,0.0632,1.065,0.5591,0.916221232876712
"125",Discharge_TPHE_C9,voi,-0.01815,0.982,0.8394,0.9944
"126",Discharge_TPHE_C10,voi,-0.08398,0.9195,0.3069,0.817721428571429
"127",Discharge_TPHE_C11,voi,0.1036,1.109,0.2365,0.794746987951807
"128",Discharge_TPHE_C12,voi,0.1281,1.137,0.2026,0.739168115942029
"129",Discharge_TPHE_C13,voi,-0.09799,0.9067,0.2948,0.817721428571429
"130",Discharge_TPHE_C14,voi,0.0304,1.031,0.8189,0.9944
"131",Discharge_TPHE_C15,voi,0.02302,1.023,0.8295,0.9944
"132",Discharge_TPHE_C16,voi,-0.06309,0.9389,0.5204,0.916221232876712
"133",Discharge_TPHE_C17,voi,0.1016,1.107,0.5046,0.906762406015038
"134",Discharge_TPHE_C18,voi,-0.1156,0.8908,0.2747,0.794746987951807
"135",Discharge_TPHE_C20,voi,-0.03107,0.9694,0.8147,0.9944
"136",Discharge_TPHE_C21,voi,0.1479,1.159,0.1468,0.739168115942029
"137",Discharge_TPHE_C22,voi,0.1297,1.139,0.174,0.739168115942029
"138",Discharge_TPHE_C23,voi,0.03646,1.037,0.7303,0.991044382022472
"139",Discharge_TPHE_C24,voi,-0.006659,0.9934,0.9458,0.9944
"140",Discharge_TPHE_C25,voi,0.1245,1.133,0.1934,0.739168115942029
"141",Discharge_TPHE_C26,voi,-0.1643,0.8485,0.07808,0.720259090909091
"142",Discharge_TPHE_C27,voi,0.09226,1.097,0.309,0.817721428571429
"143",OneYear_TPHE_C1,voi,-0.2708,0.7627,0.04047,0.720259090909091
"144",OneYear_TPHE_C2,voi,0.07072,1.073,0.5003,0.905846212121212
"145",OneYear_TPHE_C3,voi,-0.2371,0.7889,0.04215,0.720259090909091
