term,estimate,std.error,statistic,p.value,response,voi,produced_warning
(Intercept),-2.245303671605457,0.15271029983256876,-14.70302706541211,7.948968424863997e-25,NAS_1,OneYear_TPHE_C23,TRUE
MODVaginal,-0.3070127458072086,0.22478443930768904,-1.3658096029812987,0.17568844476053297,NAS_1,OneYear_TPHE_C23,TRUE
voi,0.011620996466357114,0.10767844386837483,0.10792314644296418,0.9143171197413635,NAS_1,OneYear_TPHE_C23,TRUE
anova,NA,NA,NA,0.9153861369001911,NAS_1,OneYear_TPHE_C23,NA
(Intercept),-2.242776724495693,0.1510576120394877,-14.847161253346258,4.409675381327138e-25,NAS_1,OneYear_TPHE_C24,TRUE
MODVaginal,-0.3239957252001375,0.2226625651969787,-1.455097424722087,0.14941404172757225,NAS_1,OneYear_TPHE_C24,TRUE
voi,-0.10946619275221478,0.11314716462374537,-0.9674673962553889,0.33612110648911364,NAS_1,OneYear_TPHE_C24,TRUE
anova,NA,NA,NA,0.3243488746499716,NAS_1,OneYear_TPHE_C24,NA
(Intercept),-2.2426416009711754,0.15228980203984235,-14.726144304688578,7.23086346464774e-25,NAS_1,OneYear_TPHE_C25,TRUE
MODVaginal,-0.31194321050261087,0.22494928340430362,-1.3867268469664435,0.1692383647619116,NAS_1,OneYear_TPHE_C25,TRUE
voi,0.012834328305890106,0.11446265454451543,0.1121267749464847,0.9109936185795016,NAS_1,OneYear_TPHE_C25,TRUE
anova,NA,NA,NA,0.9080275400401998,NAS_1,OneYear_TPHE_C25,NA
(Intercept),-2.246716301569427,0.1544708512010043,-14.544597146330867,1.5237477503192083e-24,NAS_1,OneYear_TPHE_C26,TRUE
MODVaginal,-0.30377643788867814,0.22941121516112256,-1.3241568755709114,0.18908595145257717,NAS_1,OneYear_TPHE_C26,TRUE
voi,0.012465903229874946,0.11331222710992965,0.11001375180615922,0.912664036791551,NAS_1,OneYear_TPHE_C26,TRUE
anova,NA,NA,NA,0.9156281817354799,NAS_1,OneYear_TPHE_C26,NA
(Intercept),-2.246758019725873,0.1514233200693241,-14.83759581217259,4.585157276420621e-25,NAS_1,OneYear_TPHE_C27,TRUE
MODVaginal,-0.3236271026405989,0.22292013710457928,-1.451762531837914,0.15033721291213703,NAS_1,OneYear_TPHE_C27,TRUE
voi,-0.12762209531668506,0.1214357215802509,-1.0509436074981107,0.2963347610831583,NAS_1,OneYear_TPHE_C27,TRUE
anova,NA,NA,NA,0.2775403354969689,NAS_1,OneYear_TPHE_C27,NA
(Intercept),-2.4213621007010104,0.15397832726994096,-15.725343583295954,1.288293636732177e-26,NAS_1,Birth_TPHE_CD8_C1,TRUE
MODVaginal,-0.4278355617427967,0.2420012505805736,-1.7679064084024232,0.08075142297212495,NAS_1,Birth_TPHE_CD8_C1,TRUE
