estimate,std.error,statistic,p.value,term,response,voi,produced_warning
0.01766,0.09303,0.1898,0.8495,voi,NAS_1,OneYear_TPHE_CD8_C1,FALSE
NA,NA,NA,0.8497079282623191,anova,NAS_1,OneYear_TPHE_CD8_C1,NA
3.726,0.1076,34.62,0,log_alpha,NAS_1,OneYear_TPHE_CD8_C2,FALSE
0.9207,0.1258,7.316,2.547e-13,log_beta,NAS_1,OneYear_TPHE_CD8_C2,FALSE
-0.3052,0.2148,-1.42,0.1555,MODVaginal,NAS_1,OneYear_TPHE_CD8_C2,FALSE
-0.04042,0.02341,-1.726,0.08427,gaBirth,NAS_1,OneYear_TPHE_CD8_C2,FALSE
0.04772,0.1048,0.4555,0.6488,voi,NAS_1,OneYear_TPHE_CD8_C2,FALSE
NA,NA,NA,0.6483460262216105,anova,NAS_1,OneYear_TPHE_CD8_C2,NA
3.729,0.1077,34.61,0,log_alpha,NAS_1,OneYear_TPHE_CD8_C3,FALSE
0.9195,0.1259,7.305,2.773e-13,log_beta,NAS_1,OneYear_TPHE_CD8_C3,FALSE
-0.3137,0.2148,-1.46,0.1442,MODVaginal,NAS_1,OneYear_TPHE_CD8_C3,FALSE
-0.03816,0.02305,-1.656,0.09772,gaBirth,NAS_1,OneYear_TPHE_CD8_C3,FALSE
3.821e-4,0.1036,0.00369,0.9971,voi,NAS_1,OneYear_TPHE_CD8_C3,FALSE
NA,NA,NA,0.997056102643589,anova,NAS_1,OneYear_TPHE_CD8_C3,NA
3.729,0.1075,34.7,0,log_alpha,NAS_1,OneYear_TPHE_CD8_C5,FALSE
0.92,0.1258,7.312,2.631e-13,log_beta,NAS_1,OneYear_TPHE_CD8_C5,FALSE
-0.3219,0.2163,-1.488,0.1368,MODVaginal,NAS_1,OneYear_TPHE_CD8_C5,FALSE
-0.0394,0.02331,-1.69,0.09105,gaBirth,NAS_1,OneYear_TPHE_CD8_C5,FALSE
-0.02252,0.08955,-0.2515,0.8014,voi,NAS_1,OneYear_TPHE_CD8_C5,FALSE
NA,NA,NA,0.800004155708857,anova,NAS_1,OneYear_TPHE_CD8_C5,NA
3.715,0.09739,38.15,0,log_alpha,NAS_1,OneYear_TPHE_CD8_C6,FALSE
1.045,0.1266,8.252,2.22e-16,log_beta,NAS_1,OneYear_TPHE_CD8_C6,FALSE
-0.1488,0.2035,-0.7312,0.4647,MODVaginal,NAS_1,OneYear_TPHE_CD8_C6,FALSE
