SampleID	PC1
F160SBV9.04	-0.316447001
G160S9T7.04	-0.10611557
H160RTMF.04	0.159880488
H160S412.04	-0.307824825
H160S4Y1.04	0.170602898
J160SR19.04	0.235632707
K160RQH0.04	0.121496541
K160RV9Q.04	0.271176699
K160RXMG.04	-0.31083696
K160S8KV.04	-0.076456427
K160SCHQ.04	0.295470305
A160QK8H.04	0.084735948
A160QSHS.04	0.107834287
A160R96C.04	-0.228145932
A160R9GT.04	0.386031034
A160RFN6.04	0.069645711
A160RMVD.04	-0.215389527
B160Q7Y8.04	0.360765479
B160QHH0.04	0.222690262
B160QKW3.04	0.159461098
B160QV1J.04	-0.075311178
B160RHB0.04	-0.088781224
B160RN1V.04	-0.327810939
C160QS3G.04	0.211004027
C160R0WD.04	0.264311377
C160RM7F.04	0.329236517
D160QY4D.04	0.292402146
D160QYWR.04	0.14226701
D160R9MD.04	0.358953382
E160R0X9.04	0.275669841
E160R0Y6.04	0.26477946
E160R5S3.04	0.055209235
E160RGNZ.04	-0.05973179
F160R4SB.04	-0.22430852
F160R4ZW.04	0.216396628
F160R7NX.04	0.385276396
G160QJVN.04	0.262630524
G160RG9X.04	-0.053596679
H160Q1XD.04	0.369972717
H160QN9B.04	0.165476252
H160QS76.04	0.336307993
H160RJWF.04	0.178002973
J160QDXB.04	0.300200139
J160R3VV.04	0.276762821
J160R800.04	-0.262176508
J160RMGG.04	0.085876806
J160S2NZ.04	0.01813601
K160QHRF.04	0.037588672
K160RCDB.04	-0.073465149
K160RGBW.04	-0.216881052
K160RJXG.04	0.260266107
A160QRJP.04	-0.197426695
A160RK60.04	-0.202300108
A160RLGT.04	-0.207324864
A160T48B.04	-0.189841558
B160R5Q9.04	0.305578294
B160SDNP.04	0.340651461
B160SH11.04	0.121297292
B160SHWG.04	-0.246897398
B160T3S6.04	-0.198592017
B160TLYN.04	0.162255034
C160RC50.04	0.282902808
C160RLFX.04	-0.22459152
C160T3T3.04	-0.138750064
C160TN77.04	0.076558182
C160VQW6.04	-0.318869243
D160RNJS.04	-0.332637465
D160T72N.04	-0.346583324
D160T7P8.04	-0.34771747
D160TJ57.04	0.265639164
E160S20Z.04	-0.297042885
E160SM3Y.04	-0.235225986
E160SQSY.04	-0.310739923
E160T59L.04	-0.245458525
E160TL1Z.04	-0.340212807
F160RQXD.04	-0.31897683
F160S28F.04	-0.351597097
F160SJJJ.04	-0.156710009
G160Q145.04	-0.147586144
G160QYKX.04	0.098210576
G160R20R.04	0.324161027
G160RLHQ.04	-0.128478873
G160S27J.04	-0.32619834
G160SGZ7.04	-0.270193907
G160SLSL.04	-0.022180443
G160SRS4.04	-0.228109197
G160T7LP.04	-0.127036405
G160T8BM.04	-0.162332939
G160VJ8H.04	-0.290007339
G160VJFW.04	0.269809113
G160VK98.04	-0.043532837
H160PZSB.04	-0.178977079
H160Q09G.04	0.236620175
H160QSJP.04	0.094867753
H160RN0W.04	-0.13976668
H160S2X2.04	-0.023333003
H160SDQH.04	0.324031399
H160SGJN.04	0.002597482
H160TCL5.04	-0.135620847
H160TD27.04	-0.202073604
J160RPSW.04	0.345388539
J160RW2L.04	-0.11729401
J160S2XZ.04	0.096487026
J160S9D6.04	0.241510287
J160SQ70.04	-0.167809985
J160T5NN.04	0.127397791
J160TD0F.04	-0.080596855
J160TKNH.04	0.130514447
K160R8J1.04	-0.015402072
K160SQM3.04	-0.052454762
A160SZHY.04	0.208896297
A160T46G.04	0.340873013
A160V8GN.04	-0.00333949
A160WS9W.04	-0.007342277
A160WSK2.04	0.210467562
A160WVDY.04	0.199954077
A160X7RK.04	0.150780711
A160X991.04	0.329208486
A160XC03.04	-0.108146483
A160XDQT.04	-0.228107036
A160Y93J.04	-0.325411749
B160SXGM.04	0.388413552
B160T2S0.04	0.340725392
B160VCF3.04	0.239623925
B160VNK7.04	0.375537446
B160W4TC.04	0.346572626
B160W55Z.04	-0.29680784
B160X5HP.04	0.185274759
B160X84R.04	0.109019878
B160YFGW.04	0.30043699
B160YFHS.04	-0.244209341
B160YHQ9.04	0.031826024
B160YQCN.04	-0.214320285
C160SW00.04	0.339266198
C160VP44.04	0.343649672
C160VPWH.04	-0.115055876
C160W1KS.04	-0.026246726
C160W4FQ.04	0.350622368
C160WR5P.04	-0.22988007
C160X6RN.04	0.214762901
C160X6SK.04	0.296944552
C160X7SG.04	-0.234493052
C160X86K.04	-0.366367713
C160X99Y.04	-0.287441224
C160X9CR.04	-0.186191004
C160Y9YR.04	-0.306000696
C160ZZVJ.04	-0.304147228
D160SZH1.04	0.273741033
D160V7XD.04	0.20280174
D160V8L8.04	0.379422457
D160V8M5.04	0.265231843
D160WVB7.04	0.228360972
D160WVD1.04	0.302856833
D160X87G.04	0.312969724
D160Y9QM.04	0.180243859
D160Y9ZN.04	-0.321695024
D160YB0M.04	-0.012605072
D160YHNC.04	-0.145814371
D160YKQJ.04	-0.308436467
D160YKVB.04	-0.350607051
E160SNM1.04	0.103751201
E160T141.04	0.388546349
E160V7BD.04	0.385745635
E160X9QL.04	-0.199125758
E160Y9PQ.04	-0.157042984
E160YF63.04	-0.286943914
E160YHBW.04	-0.215326329
E160YHPB.04	-0.150421099
F160VCSC.04	0.229253546
F160VDBD.04	0.276142541
F160VNL4.04	0.325378088
F160W14F.04	0.38971736
F160WTD9.04	-0.271738564
F160X88C.04	0.067736809
F160X9BV.04	-0.236711872
F160XDXW.04	-0.020017483
F160Y91L.04	0.008059931
F160Y92M.04	-0.321871481
F160Y962.04	-0.271505233
F160Y9L3.04	-0.159695309
F160Y9RJ.04	-0.225001584
F160YF9G.04	-0.00218888
F160YKHW.04	-0.21557787
F160YKKR.04	-0.157709072
F160YKRM.04	-0.236883762
F160YL80.04	0.16988817
G160S8SX.04	-0.089804421
G160T2F7.04	0.218527963
G160VMFP.04	-0.277250711
G160WV9B.04	-0.382869387
G160X6G5.04	0.085619986
G160X6N8.04	0.301827451
G160XBYR.04	-0.284197419
G160XDM6.04	-0.14957795
G160YK5N.04	-0.343380882
G160YKJV.04	-0.020443411
G160YL4X.04	-0.26802782
G16101PR.04	-0.122107478
H160SZY9.04	0.092305887
H160T077.04	0.192998174
H160T1J3.04	0.256381123
H160T2G4.04	0.1765472
H160VDMV.04	-0.183849376
H160W15B.04	0.174988885
H160X83V.04	-0.300171008
H160XBP4.04	-0.182338581
H160Y9NT.04	-0.266602111
H160YB6R.04	-0.184756263
H160YCZW.04	0.108223958
H160YHR8.04	-0.326589637
H160YKTF.04	-0.218219443
H160YQNM.04	0.059089466
H160ZPLB.04	-0.227319719
H160ZZQJ.04	0.203996035
J160SHVK.04	-0.192185587
J160SW0Z.04	0.317622297
J160SZG4.04	0.321780091
J160T1K0.04	0.392183364
J160T3D7.04	-0.048484152
J160VBSP.04	-0.21909827
J160VCJ2.04	0.270317955
J160VMJL.04	-0.114451586
J160WT82.04	-0.100539322
J160X550.04	0.076789617
J160XBQY.04	0.229767367
J160XBRV.04	0.307256124
J160YB9G.04	-0.30861733
J160YFFZ.04	-0.247371411
J160YG6B.04	-0.034754859
J160YKMF.04	-0.117090172
J160YLBQ.04	-0.313072277
J16101DC.04	-0.328219166
K160SW5K.04	0.334075552
K160V9TW.04	0.174684197
K160VBRS.04	0.049300606
K160VNCR.04	0.346010469
K160W1LP.04	-0.034685957
K160W418.04	-0.168143751
K160WS6T.04	-0.186950257
K160WTGD.04	0.217200288
K160X53Z.04	0.32899856
K160X6MC.04	-0.311405188
K160X9MT.04	0.308798461
K160YHDP.04	-0.069866412
A160T856.04	0.237238571
A160T8N9.04	0.174378683
A160TBB4.04	0.25026154
A160WJQF.04	0.316939933
A160WJV1.04	0.171103778
A160WJWV.04	0.314682106
A160WKNG.04	0.199878515
A160WLJR.04	0.142013046
A160WN2Z.04	0.109468997
A160WPR5.04	-0.11413934
