"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"H160V88C.04",0.00661616858447102,0.570081823266267,0.389970693928052,0.00896973408057578,2.63884000828184e-11,1.93873169137851e-12,0.000135292823283408,0.0241782036435435,6.0278859398743e-06,3.2116723005716e-18,4.16621469146391e-05,3.93612625115302e-07,2.73135509272435e-26
"H160V9WK.04",9.04597161264908e-42,7.32608305193246e-26,2.30937994214074e-10,4.79652772304735e-32,0.98781442830485,5.05669472483585e-18,4.85617951036057e-19,0.0121855061197417,3.1191627134983e-30,5.71371396870664e-18,6.53444703055436e-08,2.42202016460842e-31,2.31300570399823e-21
"H160VSKM.04",1.3287242947679e-16,3.34884308997105e-09,0.000103498599758018,7.34527376243211e-12,8.2667416893247e-07,1.18669048585068e-12,1.72299075567791e-08,5.23931597334206e-05,3.30305019866234e-14,3.7433599463224e-20,0.999843260978997,2.65407359257067e-14,1.29886190696485e-24
"H160VVL2.04",3.19533347113544e-28,1.48837311830632e-14,6.79676950882538e-05,2.17299302773158e-18,0.987705454214972,2.76243089324127e-17,4.43929202085495e-19,1.14145029523006e-06,4.01562266525557e-16,1.84639451005755e-21,0.0122254366396289,3.77228011708708e-19,5.33574339084219e-24
"H160VX76.04",2.70233963154679e-15,0.00064303136628926,0.000267451507805767,4.02659688954042e-09,3.15418594514171e-06,4.0138103219881e-15,1.48734936435198e-13,4.15830765880422e-10,1.19918672882114e-14,1.05948876687202e-21,0.999086358496718,6.46844443755282e-13,1.66568627624963e-25
"H160VYNN.04",2.96806510082418e-25,1.04931015899455e-15,7.05763832227681e-05,1.45996491352449e-19,0.00563056223467854,2.21167475027477e-16,8.77297925260484e-17,1.65178016948606e-05,1.05026836967682e-19,6.75235283856256e-23,0.994282343580403,1.01907656436434e-20,1.17100531042181e-24
"H160W0PX.04",1.09744026986811e-36,1.66482599639273e-24,4.53184716613865e-09,7.87588724899896e-31,0.999999033120168,1.25579010968696e-17,1.83601662104064e-25,5.83326654287785e-09,1.07552406908531e-25,3.24347958297067e-22,9.56514718449804e-07,1.5442799374058e-28,2.55047999737867e-21
"H160W610.04",2.11858721310681e-29,1.90033957935672e-16,5.70616976232577e-06,2.4464793549886e-18,0.418825497497246,1.36019495322263e-12,4.41745814687527e-15,0.00216989921814713,3.98304857705554e-19,6.75533627813835e-08,0.578998829560117,7.99971478110346e-23,3.68187623604665e-20
"H160WB2F.04",2.2767608871227e-26,2.96326788195558e-15,4.3735719610932e-07,2.13644596555596e-15,1.45557492540328e-10,0.0322324122260585,7.44323556407625e-14,1.60223655736809e-06,4.46633987371465e-20,4.75854597857724e-07,1.24069067436563e-10,1.16368138325122e-21,0.967765072055884
"H160WDCP.04",8.02717509223104e-06,0.972812534021343,0.00967864821390695,0.00800259244972136,7.44051713611854e-10,1.92140740953491e-12,0.00801277617858366,0.000118135941104746,7.59490045673871e-11,3.19745610922365e-06,0.0013639244215104,1.63320706655538e-07,1.15376479584239e-27
