"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"B160TZF6.03",2.16912558863931e-39,8.26191149079196e-23,0.00341987880549455,3.67734502135453e-54,8.05833637704392e-05,0.000187971965552302,0.965677941553905,2.18014820265421e-10,1.03355679359987e-13,4.01074574599981e-13,0.0306336239555663,1.37192636828957e-10,5.45016225443622e-21
"B160VGVK.03",3.36924952891403e-05,8.39653344001378e-12,2.46601941457608e-37,0.999966307496234,2.16486215366587e-27,4.4691924336173e-34,3.55842905028816e-57,3.68861312644221e-25,8.03999158105672e-14,9.08368324084126e-29,4.91767739696862e-44,2.70302647348178e-56,1.71266888373771e-63
"C160QF9Z.03",0.926585689828559,2.05944966242888e-08,1.23632284663137e-37,0.0734142895406509,7.94730637882072e-29,6.84608761720257e-34,8.43407613562349e-64,1.50450054167751e-22,3.62939230511219e-11,2.91534036852694e-25,1.22321976595326e-49,3.91820379480807e-59,4.93801824279707e-67
"C160QX72.03",0.000447673807653361,0.999551705371493,1.13208586199738e-19,1.22067904452641e-16,8.51561786909797e-15,8.6983449857231e-24,5.09501594908138e-43,2.57355376859864e-13,4.12769289659348e-07,2.08051298212726e-07,4.16825607994999e-35,1.81097345484038e-43,1.20169795240395e-48
"C160SMD9.03",0.999719639322745,4.10759658405606e-06,7.53563500896618e-33,0.000276224948779468,3.03512259547989e-23,4.81843267996565e-30,2.34519143458595e-58,1.13348522117746e-18,2.81318917755294e-08,7.16570418389383e-20,8.85596597536337e-43,2.58042660284821e-53,5.34731079732078e-59
"C160V12C.03",1.97840035944858e-05,1.90192114045557e-13,6.98927234832513e-41,0.999980215996169,1.47276946742547e-31,5.55159484926725e-36,8.97926047878373e-66,6.80146841408003e-25,4.62405068825794e-14,1.52826793743238e-30,4.37977025127124e-50,1.38289418362553e-59,7.40942566847549e-68
"C160VFKP.03",1.12975335072447e-31,7.99041159708843e-14,0.995040271553971,4.09327907771178e-47,0.000268362155521798,0.00289821021354562,9.36831963162865e-13,3.48207379972769e-06,0.000529213241673825,0.0012604607120074,4.84635637096099e-11,1.87654248154475e-17,5.94933034520527e-28
"C160VJ9X.03",3.97887599473985e-52,6.07339795071092e-31,0.191501137323484,5.2047350507604e-67,2.28557425003234e-09,0.807987853378932,0.000319266039113203,7.52292552900019e-08,8.90510926540629e-15,9.12645538572556e-12,1.43533957071809e-09,0.000191664299165977,3.50993964753664e-23
"C160W558.03",3.82531262891665e-41,4.03758311609786e-22,0.99980934232226,1.23648330185731e-57,1.19902237062578e-09,0.000189923087536554,1.83621481582245e-07,5.30897507666878e-07,5.55835600880716e-12,1.84992169150687e-08,3.63144579905404e-10,4.27222412697064e-12,1.09159691258727e-24
"C160WZB3.03",8.36271167606705e-29,7.12105564285656e-15,0.908217769696817,6.96972906893572e-45,0.0149915384426694,0.0767276698393453,3.37074007319362e-09,4.14098632061992e-05,1.45712209173901e-06,2.54666203260434e-07,1.98969988885015e-05,3.14250747289913e-14,7.48785319137832e-19
"C160X0PB.03",9.50576877151921e-73,5.31939110174837e-42,0.943297165385169,1.09991985395382e-87,4.93972510739214e-16,9.24839034497866e-05,0.0017083154758942,2.46944321126828e-12,1.53155990570125e-25,3.33174111998774e-16,4.19693224763483e-15,0.0549020352330128,2.00072377486414e-30
"D160SJDG.03",0.999979030080319,1.32053923624446e-05,6.40959544046887e-31,7.44213979223568e-06,4.42683229443847e-20,3.07112035358531e-28,2.73228228923681e-53,1.76439934786517e-17,3.22387526810103e-07,5.32239265862763e-19,1.94249784460725e-36,2.53189407639605e-51,5.3218292166964e-54
"D160SXHZ.03",0.650161252028435,3.36394391033159e-05,2.60740148946425e-34,0.34980509943686,5.01955206771461e-27,7.64701643266831e-31,1.34343984108391e-60,1.10691356279101e-18,9.09560138558080e-09,3.23089933409165e-20,1.32437851812057e-48,2.14312415194226e-54,2.22335189768444e-62
"D160T4S6.03",0.957092072352585,2.84054564627062e-05,4.2119517414043e-29,0.0428794962224619,5.97588312740385e-22,2.79646166247683e-28,2.93122121231201e-54,1.99206156286054e-20,2.59684905371603e-08,1.30881532968764e-18,2.86872501438571e-40,6.09427146189132e-52,2.52613256665037e-59
"D160TFHY.03",0.996273392175413,0.000858005425573228,2.50120918156558e-27,0.00286856697231416,2.85776294149265e-22,3.82429523504995e-27,1.30201131493311e-54,1.87880053975275e-17,3.5426698654148e-08,4.64255285577519e-16,2.88374238845571e-43,1.62676131885023e-53,6.54096007872237e-51
